Date,Action,Cash,Equity,Price
2024-01-09,HOLD,0.0,2.1368,368.0
2024-01-10,HOLD,0.0,2.1368,366.26
2024-01-11,HOLD,0.0,2.1368,367.81
2024-01-12,HOLD,0.0,2.1368,366.51
2024-01-16,HOLD,0.0,2.1368,362.94
2024-01-17,HOLD,0.0,2.1368,359.01
2024-01-18,HOLD,0.0,2.1368,359.25
2024-01-19,HOLD,0.0,2.1368,362.25
2024-01-22,HOLD,0.0,2.1368,368.05
2024-01-23,HOLD,0.0,2.1368,368.02
2024-01-24,HOLD,0.0,2.1368,372.53
2024-01-25,HOLD,0.0,2.1368,379.24
2024-01-26,HOLD,0.0,2.1368,381.05
2024-01-29,HOLD,0.0,2.1368,385.49
2024-01-30,HOLD,0.0,2.1368,383.24
2024-01-31,HOLD,0.0,2.1368,386.53
2024-02-01,HOLD,0.0,2.1368,384.0
2024-02-02,HOLD,0.0,2.1368,386.68
2024-02-05,HOLD,0.0,2.1368,389.95
2024-02-06,HOLD,0.0,2.1368,390.29
2024-02-07,HOLD,0.0,2.1368,394.6
2024-02-08,HOLD,0.0,2.1368,397.22
2024-02-09,HOLD,0.0,2.1368,397.31
2024-02-12,HOLD,0.0,2.1368,398.65
2024-02-13,HOLD,0.0,2.1368,397.18
2024-02-14,HOLD,0.0,2.1368,395.15
2024-02-15,HOLD,0.0,2.1368,399.14
2024-02-16,HOLD,0.0,2.1368,404.44
2024-02-20,HOLD,0.0,2.1368,406.47
2024-02-21,HOLD,0.0,2.1368,408.26
2024-02-22,HOLD,0.0,2.1368,411.3
2024-02-23,HOLD,0.0,2.1368,417.68
2024-02-26,HOLD,0.0,2.1368,422.0
2024-02-27,HOLD,0.0,2.1368,409.21
2024-02-28,HOLD,0.0,2.1368,408.5
2024-02-29,HOLD,0.0,2.1368,413.1
2024-03-01,HOLD,0.0,2.1368,409.48
2024-03-04,HOLD,0.0,2.1368,405.0
2024-03-05,HOLD,0.0,2.1368,402.55
2024-03-06,HOLD,0.0,2.1368,402.18
2024-03-07,HOLD,0.0,2.1368,406.11
2024-03-08,HOLD,0.0,2.1368,401.08
2024-03-11,HOLD,0.0,2.1368,403.3
2024-03-12,HOLD,0.0,2.1368,406.78
2024-03-13,HOLD,0.0,2.1368,405.3
2024-03-14,HOLD,0.0,2.1368,409.08
2024-03-15,HOLD,0.0,2.1368,404.27
2024-03-18,HOLD,0.0,2.1368,408.7
2024-03-19,HOLD,0.0,2.1368,409.08
2024-03-20,HOLD,0.0,2.1368,412.02
2024-03-21,HOLD,0.0,2.1368,416.7
2024-03-22,HOLD,0.0,2.1368,413.0
2024-03-25,HOLD,0.0,2.1368,410.67
2024-03-26,HOLD,0.0,2.1368,410.0
2024-03-27,HOLD,0.0,2.1368,413.65
2024-03-28,HOLD,0.0,2.1368,417.8
2024-04-01,HOLD,0.0,2.1368,421.49
2024-04-02,HOLD,0.0,2.1368,419.75
2024-04-03,HOLD,0.0,2.1368,419.0
2024-04-04,HOLD,0.0,2.1368,423.84
2024-04-05,HOLD,0.0,2.1368,416.56
2024-04-08,HOLD,0.0,2.1368,418.32
2024-04-09,HOLD,0.0,2.1368,416.58
2024-04-10,HOLD,0.0,2.1368,412.74
2024-04-11,HOLD,0.0,2.1368,408.4
2024-04-12,HOLD,0.0,2.1368,405.0
2024-04-15,HOLD,0.0,2.1368,406.99
2024-04-16,HOLD,0.0,2.1368,400.97
2024-04-17,HOLD,0.0,2.1368,398.94
2024-04-18,HOLD,0.0,2.1368,399.7
2024-04-19,HOLD,0.0,2.1368,401.04
2024-04-22,HOLD,0.0,2.1368,406.84
2024-04-23,HOLD,0.0,2.1368,410.25
2024-04-24,HOLD,0.0,2.1368,407.1
2024-04-25,HOLD,0.0,2.1368,404.85
2024-04-26,HOLD,0.0,2.1368,403.92
2024-04-29,HOLD,0.0,2.1368,402.66
2024-04-30,HOLD,0.0,2.1368,400.58
2024-05-01,HOLD,0.0,2.1368,396.61
2024-05-02,HOLD,0.0,2.1368,401.0
2024-05-03,HOLD,0.0,2.1368,404.5
2024-05-06,HOLD,0.0,2.1368,403.96
2024-05-07,HOLD,0.0,2.1368,406.93
